Unnamed: 0,exp,job_id,ts,cabinet,node,device,uuid,warmup,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf_s,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
24,bert,149777,1652844443,c009,3,3,c009-3-3,FALSE,30.664097,181.46111,2,25.571868,105.6672405,0.381727709,0.236714984,236.714984,0.231015904,16.69911033,1499.890351,1530,1312,1530,877,877,877,877,48.17404647,50,35,58,139.5383069,135.209,62.75,257.088
8,bert,149775,1652844443,c009,3,1,c009-3-1,FALSE,30.647639,181.460996,2,25.574029,105.6672405,0.381709496,0.23771301,237.71301,0.229566543,16.6989677,1503.527728,1530,1312,1530,877,877,877,877,59.9736136,62,38,77,152.2212048,154.767,66.621,278.278
6,bert,152173,1652845452,c009,3,0,c009-3-0,FALSE,30.049336,155.168978,2,8.538964,88.75737034302438Total,0.302634617,0.241623091,241.623091,0.233877623,5.85852123,1517.866267,1530,1312,1530,877,877,877,877,47.44660679,48,32,58,167.2599601,166.202,68.577,291.871
1,bert,152176,1652845452,c009,3,3,c009-3-3,FALSE,30.049178,155.161953,2,8.963529,88.75737034302438Total,0.302355931,0.24166792,241.66792,0.235199765,5.86288401,1490.654618,1530,1312,1530,877,877,877,877,49.17428428,50,35,58,146.817787,168.748,63.239,257.427
29,bert,152175,1652845452,c009,3,2,c009-3-2,FALSE,30.048772,155.161658,1,5.646047,88.75737034302438Total,0.302577174,0.240406964,240.406964,0.228806506,5.862902551,1490.116424,1530,1312,1530,877,877,877,877,49.48205928,50,32,60,153.3657967,160.951,63.198,267.775
30,bert,152174,1652845452,c009,3,1,c009-3-1,FALSE,30.033673,155.161652,2,8.910653,88.75737034302438Total,0.302589934,0.240884208,240.884208,0.234602658,5.862535786,1487.870425,1530,1312,1530,877,877,877,877,60.91493571,62,38,76,156.9675796,173.7515,65.643,273.729
4,bert,154557,1652846454,c009,3,2,c009-3-2,TRUE,30.308474,168.897597,2,8.765031,100.5788663,0.359215311,0.241972717,241.972717,0.210678711,6.422393548,1504.887417,1530,1312,1530,877,877,877,877,49.58136235,50,33,60,147.0811589,133.5025,63.687,263.23
36,bert,154555,1652846454,c009,3,0,c009-3-0,TRUE,30.317516,168.906749,2,4.700867,100.5788663,0.359280219,0.242106472,242.106472,0.216123575,6.425563412,1513.326816,1530,1312,1530,877,877,877,877,47.22801303,48,32,57,162.1569581,153.052,70.044,286.638
45,bert,154556,1652846454,c009,3,1,c009-3-1,TRUE,30.298893,168.899577,2,8.759795,100.5788663,0.359164907,0.241979757,241.979757,0.231166817,6.422235716,1503.748828,1530,1312,1530,877,877,877,877,61.27975633,62,39,76,154.7307366,163.3335,66.132,270.026
28,bert,154558,1652846454,c009,3,3,c009-3-3,TRUE,30.319445,168.930745,2,8.743935,100.5788663,0.350487927,0.242362198,242.362198,0.229852016,6.423990812,1506.6079,1530,1312,1530,877,877,877,877,49.40154068,50,35,58,146.1646281,153.8925,63.198,260.03
