exp,input_size,reps,uuid,cabinet,node,ts,kern,kern_min_start,kern_max_start,num_kerns,perf,freq,memfreq,temp,pwr,dev_id
sgemm,25536,100,GPU-3a24bed5-f40b-0330-325c-b202c5d8f84e,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.196439,530.803823,100,2430.838714,1357,877,70,296.986,0
sgemm,25536,100,GPU-4a04f6a4-3f96-0a73-36bc-e4d128d08a4a,-1,-1,1589952838,volta_sgemm_128x32_sliced1x4_nn,290.426299,530.674275,100,2427.034724,1365,877,63,297.592,0
sgemm,25536,100,GPU-b3fc3d38-01eb-05b0-aae0-8745654d3761,-1,-1,1589952845,volta_sgemm_128x32_sliced1x4_nn,290.340128,534.160239,100,2463.430541,1342,877,72,296.893,0
sgemm,25536,100,GPU-41247d1f-9b09-38cd-3991-3b5e9fd9810d,-1,-1,1589952836,volta_sgemm_128x32_sliced1x4_nn,290.188542,526.286297,100,2385.019684,1387,877,64,296.911,0
sgemm,25536,100,GPU-79aa39c5-80d6-8b6e-3967-fb6920774de3,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.335416,533.790086,100,2459.576133,1350,877,70,297.378,0
sgemm,25536,100,GPU-5bef6edb-1abb-8f9c-b381-8025163b6743,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.809223,530.1816,100,2417.916255,1372,877,59,297.47,0
sgemm,25536,100,GPU-f4957f78-5e36-a757-c0eb-f11e1ee62577,-1,-1,1589952861,volta_sgemm_128x32_sliced1x4_nn,291.281961,524.80247,100,2359.234959,1402,877,71,297.879,0
sgemm,25536,100,GPU-9c4da7f0-9ebc-cf5a-0c5d-37453081fd3b,-1,-1,1589952850,volta_sgemm_128x32_sliced1x4_nn,290.402272,531.00425,100,2430.251714,1372,877,57,297.378,0
sgemm,25536,100,GPU-aef09259-6944-a1a1-d098-901dc757d6bf,-1,-1,1589952837,volta_sgemm_128x32_sliced1x4_nn,290.150388,531.004982,100,2433.361592,1357,877,68,296.408,0
sgemm,25536,100,GPU-66d4b7cb-2a68-63a6-fe43-9d6bec75a205,-1,-1,1589951689,volta_sgemm_128x32_sliced1x4_nn,292.333182,535.674581,100,2458.558357,1342,877,68,297.863,0
sgemm,25536,100,GPU-9b896242-a632-d99a-6640-4f7b44ee7f10,-1,-1,1589952846,volta_sgemm_128x32_sliced1x4_nn,290.414375,522.504688,100,2344.094929,1417,877,52,297.985,0
sgemm,25536,100,GPU-cca9fb73-5970-bca2-47d5-08aa1b09298d,-1,-1,1589952862,volta_sgemm_128x32_sliced1x4_nn,290.502509,542.650076,100,2547.331071,1305,877,77,296.623,0
sgemm,25536,100,GPU-56399d8b-55ee-b8d6-cfbd-3a68d6f6de96,-1,-1,1589952841,volta_sgemm_128x32_sliced1x4_nn,293.62445,533.342239,100,2421.490357,1365,877,58,297.182,0
sgemm,25536,100,GPU-0eb2efda-9d53-3fdc-407c-6e198ad37fbd,-1,-1,1589952845,volta_sgemm_128x32_sliced1x4_nn,290.368665,534.857486,100,2470.014306,1342,877,79,296.603,0
sgemm,25536,100,GPU-6b710acb-0c06-95b6-014d-e7849bced0f1,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.99399,530.15305,100,2416.079694,1372,877,72,296.79,0
sgemm,25536,100,GPU-4a06f76d-8575-baa6-5e7d-2eb35946e0c2,-1,-1,1589952838,volta_sgemm_128x32_sliced1x4_nn,290.372767,534.175695,100,2463.041837,1350,877,72,297.378,0
sgemm,25536,100,GPU-45140140-249a-2e03-14b3-4d2f64f09570,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.356914,531.443838,100,2435.583898,1357,877,68,296.305,0
sgemm,25536,100,GPU-655f65a9-81f2-722b-9462-0bd6e4f55946,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.167965,527.67983,100,2399.260031,1380,877,56,296.697,0
sgemm,25536,100,GPU-9094dda3-72f9-ac0e-e0b2-d4be842e957e,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.713122,534.650914,100,2464.319959,1350,877,63,297.47,0
sgemm,25536,100,GPU-506c48a4-af36-7a31-87cf-787d45d0036c,-1,-1,1589952861,volta_sgemm_128x32_sliced1x4_nn,290.6224,534.86196,100,2467.778112,1335,877,70,297.182,0
sgemm,25536,100,GPU-0542528c-4ba5-0eff-4a1f-90ac59dd0446,-1,-1,1589952841,volta_sgemm_128x32_sliced1x4_nn,290.768391,533.273682,100,2449.990235,1350,877,71,297.378,0
sgemm,25536,100,GPU-ac8d2879-06bb-e475-3c27-fbbbd1c0e879,-1,-1,1589952855,volta_sgemm_128x32_sliced1x4_nn,289.787558,532.357529,100,2450.362837,1357,877,66,296.986,0
sgemm,25536,100,GPU-fe5d2572-c990-03eb-0f77-46602334c9c9,-1,-1,1589952840,volta_sgemm_128x32_sliced1x4_nn,290.895673,534.945363,100,2465.809551,1342,877,69,297.5225,0
sgemm,25536,100,GPU-688e8925-b05c-899c-9751-8833cf23844e,-1,-1,1589952846,volta_sgemm_128x32_sliced1x4_nn,291.496821,535.171627,100,2461.572939,1350,877,69,297.667,0
sgemm,25536,100,GPU-4519f6bf-689a-bfa1-8ac6-ff03d8885748,-1,-1,1589952846,volta_sgemm_128x32_sliced1x4_nn,291.250437,531.395135,100,2425.767939,1365,877,59,297.758,0
sgemm,25536,100,GPU-0ef33d31-44e6-7ce2-2f82-573161a8ae6f,-1,-1,1589952855,volta_sgemm_128x32_sliced1x4_nn,289.788081,532.83657,100,2455.356439,1350,877,70,297.182,0
sgemm,25536,100,GPU-d84f5939-7ca4-0396-85a7-9916b2f47bb1,-1,-1,1589952862,volta_sgemm_128x32_sliced1x4_nn,290.384682,537.459804,100,2495.925959,1327,877,72,296.118,0
sgemm,25536,100,GPU-2a361805-e724-c2ff-f257-62d27363b999,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,320.769183,565.396793,100,2471.442959,1342,877,69,296.022,0
sgemm,25536,100,GPU-a412f397-ace2-7a2d-7bd3-9ff7b4de3a5d,-1,-1,1589952862,volta_sgemm_128x32_sliced1x4_nn,290.407998,529.637613,100,2417.350714,1365,877,75,296.623,0
