,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
36,resnet,4,c197,112,0,186.117307,0.13723414,0.135856101,7.45220851,0.129611614,GPU-c19b42c9-a13b-8c6e-7458-5d29499bbfd5
37,resnet,4,c197,112,1,186.117307,0.136089188,0.134574513,7.613773027,0.129121696,GPU-f500da1f-94e0-e012-5333-d9ce75312c3c
38,resnet,4,c197,112,2,186.117307,0.135636709,0.134603136,7.422085007,0.128091047,GPU-68857950-994f-bd13-ef38-e39f6e412370
39,resnet,4,c197,112,3,186.117307,0.138041044,0.136317485,7.594781024,0.131070395,GPU-d237dced-269d-1a88-2a3d-35b3aa7a6667
40,resnet,3,c198,111,0,185.870965,0.13609039,0.134971302,7.485617322,0.127776559,GPU-e203069a-77a3-598c-10f7-d29aa953e8ad
41,resnet,3,c198,111,1,185.870965,0.138211569,0.136575147,7.824976416,0.128373154,GPU-00ccd5ea-1163-8b1b-b814-37f30b32424a
42,resnet,3,c198,111,2,185.870965,0.13839152,0.136330248,7.297513432,0.129739532,GPU-6dde75ce-71df-7921-797d-f0ccb641f223
43,resnet,3,c198,111,3,185.870965,0.134999926,0.133445594,7.589182258,0.127126666,GPU-4377a22b-6292-e4ec-1def-d69a59432086
44,resnet,4,c199,61,0,190.351882,0.136210849,0.134590523,11.3927867,0.128747039,GPU-3bd60980-a877-b94d-934b-cd3599f8e788
45,resnet,4,c199,61,1,190.351882,0.135877899,0.134549781,11.65526568,0.129049175,GPU-186adbd6-869d-a96b-e984-bb1b5a453d30
46,resnet,4,c199,61,2,190.351882,0.138575604,0.136914148,11.41703345,0.130461615,GPU-26263a8f-1606-5d87-cf96-4e6b5e535e66
47,resnet,4,c199,61,3,190.351882,0.136220885,0.134546859,11.3742936,0.128852006,GPU-f89cf3cd-acb5-cf90-4ece-8141ca477c65
48,resnet,1,c197,72,0,186.951295,0.138139473,0.136313438,7.874741509,0.129714699,GPU-f57e8247-4e51-787e-d125-1b16a8cf4582
49,resnet,1,c197,72,1,186.951295,0.135508445,0.134106006,7.903000715,0.127929005,GPU-52f8161b-43d3-827b-2684-80b609bc8ec6
50,resnet,1,c197,72,2,186.951295,0.135247585,0.133768313,7.713726686,0.127354989,GPU-06212af4-9a15-8518-a41e-b0cee5abb6ef
51,resnet,1,c197,72,3,186.951295,0.136153988,0.134827077,7.985852409,0.127979302,GPU-e710280b-c0c7-7ec2-a0f1-3573e14baf9e
52,resnet,3,c196,72,0,186.145139,0.137129425,0.135427992,7.50602356,0.129450328,GPU-65990682-bbf8-0818-4109-9a86f0f02e6f
53,resnet,3,c196,72,1,186.145139,0.137539416,0.136489873,7.439442683,0.129638809,GPU-209c879c-4afb-2e25-5fea-73a69b738ce1
54,resnet,3,c196,72,2,186.145139,0.137711706,0.136255121,7.371264631,0.129184025,GPU-9d332a8d-6139-d311-794f-341360c0e211
55,resnet,3,c196,72,3,186.145139,0.136535515,0.135263743,7.591503053,0.128862434,GPU-73b844f9-cfd5-b9de-b344-2f895e84c74d
56,resnet,4,c196,62,0,199.594342,0.137675308,0.135491796,20.59429807,0.129867657,GPU-b5bfd8f4-1af1-1d42-7e61-4418fb73e9b5
57,resnet,4,c196,62,1,199.594342,0.136004955,0.134052575,20.62308454,0.127437842,GPU-4cae3e04-8317-7130-c33d-f596fe441d34
58,resnet,4,c196,62,2,199.594342,0.135211702,0.133303793,20.53320885,0.127926897,GPU-9f233605-62c7-c998-3c19-8051b138d7a8
59,resnet,4,c196,62,3,199.594342,0.138017533,0.136033011,20.62130074,0.130094168,GPU-9e51dd33-ce17-5832-e3f3-257032c14eee
60,resnet,0,c199,112,0,241.302418,0.184056255,0.137287198,23.56466121,0.124930732,GPU-ea4533fa-dec6-97d8-8fb3-e7762dd149d5
61,resnet,0,c199,112,1,241.302418,0.169488194,0.134885832,22.48054954,0.124515577,GPU-6defb7e1-ec8a-762f-09bb-19c9dfed1fa7
62,resnet,0,c199,112,2,241.302418,0.19917704,0.13849319,23.83457606,0.125748692,GPU-bd8dc51a-319c-b80c-3bcb-dd19ad52999d
63,resnet,0,c199,112,3,241.302418,0.197854125,0.138413437,23.38835129,0.126458526,GPU-4ef43ea3-8a93-3f9a-f774-035ef50c4a1c
64,resnet,4,c197,32,0,186.462722,0.136776878,0.135502268,7.657260991,0.129635632,GPU-aece59c8-5cdd-88ae-f4af-343bbd7039c6
65,resnet,4,c197,32,1,186.462722,0.136965985,0.13540012,7.846688253,0.129762758,GPU-a6019a64-6c55-7009-522f-75c009fcc35b
66,resnet,4,c197,32,2,186.462722,0.136600876,0.135395088,7.659328198,0.129283433,GPU-ce23372d-9b91-fa22-4b6a-efdf50dc605f
67,resnet,4,c197,32,3,186.462722,0.136970664,0.13526806,7.786525142,0.129844831,GPU-084d924d-e1ef-c343-8b49-5c9fd4d1471e
68,resnet,3,c197,92,0,186.654379,0.13718091,0.135422141,7.724793062,0.128805441,GPU-c5992df9-8d3b-c84d-4117-8f4e23515b5b
69,resnet,3,c197,92,1,186.654379,0.13553757,0.134245766,7.937382077,0.126968039,GPU-dbe11990-1ffe-bf6e-1bcd-597305863b32
70,resnet,3,c197,92,2,186.654379,0.137505876,0.13601567,7.573339686,0.128096336,GPU-28c301cb-dc08-2d35-dde8-9af7a74841b4
71,resnet,3,c197,92,3,186.654379,0.137329349,0.13519609,7.729088322,0.130082644,GPU-e289b4a9-b821-519b-4474-24560d64ceae
72,resnet,0,c197,72,0,241.649668,0.173360196,0.136003807,38.3488328,0.129513593,GPU-f57e8247-4e51-787e-d125-1b16a8cf4582
73,resnet,0,c197,72,1,241.649668,0.172018957,0.135685893,38.56107519,0.128055029,GPU-52f8161b-43d3-827b-2684-80b609bc8ec6
74,resnet,0,c197,72,2,241.649668,0.159732624,0.13830816,38.49657776,0.128174578,GPU-06212af4-9a15-8518-a41e-b0cee5abb6ef
75,resnet,0,c197,72,3,241.649668,0.169768289,0.135551275,38.50119281,0.12849284,GPU-e710280b-c0c7-7ec2-a0f1-3573e14baf9e
76,resnet,3,c196,111,0,185.652863,0.136049149,0.134958773,7.323070627,0.129186471,GPU-ed649eb4-e3a2-d251-d3d7-0c1cd9c53e67
77,resnet,3,c196,111,1,185.652863,0.136916315,0.135483132,7.376735037,0.129862403,GPU-b84e9160-a738-1255-fcdd-6d461313945d
78,resnet,3,c196,111,2,185.652863,0.137953026,0.136380771,7.428189999,0.129991258,GPU-98329a94-3d69-3633-1464-caaa5d7eb597
79,resnet,3,c196,111,3,185.652863,0.135325145,0.13424009,7.450231736,0.128429648,GPU-281d233d-28c7-f5dd-f4c1-48837c021bb4
80,resnet,3,c199,101,0,186.522602,0.137478792,0.13581678,7.351580578,0.128781183,GPU-f9d29720-d192-a337-b70c-88e33f77a449
81,resnet,3,c199,101,1,186.522602,0.136632883,0.13520784,7.443460636,0.129188254,GPU-3566d686-55d3-7d45-8edf-380002984cd5
82,resnet,3,c199,101,2,186.522602,0.136177142,0.134978182,7.208725169,0.128620837,GPU-417fc0d8-6d06-9fd8-66cf-ded92981c5a8
83,resnet,3,c199,101,3,186.522602,0.139053127,0.137280869,7.381713331,0.130515026,GPU-2aad00f6-c880-f072-24b7-e548f74a548b
84,resnet,4,c198,12,0,187.052296,0.137072587,0.135435509,7.510204439,0.129685201,GPU-d72b4ef9-189e-8484-bcf2-5a9dfc7dfb9a
85,resnet,4,c198,12,1,187.052296,0.137197122,0.135305913,7.556596176,0.129517208,GPU-519f1f60-010a-8272-c9d5-55ea4ed898d0
86,resnet,4,c198,12,2,187.052296,0.136165814,0.134685225,7.339074589,0.129158452,GPU-e7973b03-d6c5-dad0-053b-5fc14adc5ba3
87,resnet,4,c198,12,3,187.052296,0.137407366,0.135571064,7.657093315,0.129950221,GPU-650216f5-5261-df99-c863-32751788b254
88,resnet,4,c197,61,0,213.805201,0.192701532,0.135991071,22.81928583,0.125091233,GPU-ee8d6575-04ef-d96a-7049-9a792b589fd4
89,resnet,4,c197,61,1,213.805201,0.190312899,0.135364086,22.81753308,0.126016207,GPU-e3882ba0-d81b-7e06-0f61-e6b6899673ca
90,resnet,4,c197,61,2,213.805201,0.187629613,0.135649179,22.82277214,0.125844092,GPU-01b31d42-2339-500c-e226-c152144e6af3
91,resnet,4,c197,61,3,213.805201,0.144193083,0.135930311,7.587038544,0.126235695,GPU-e0929bd0-34e9-53c6-4d22-f0f1c0daa3ef
92,resnet,3,c197,41,0,185.808325,0.136503744,0.135056933,7.726653415,0.129074223,GPU-0f568672-a360-4531-9c67-3dfc52f8dcba
93,resnet,3,c197,41,1,185.808325,0.136100863,0.135105715,7.780592576,0.128786282,GPU-1c2a30dc-75a3-492e-b4b1-c0ba395c01ca
94,resnet,3,c197,41,2,185.808325,0.137316198,0.135966426,7.534860701,0.128937586,GPU-aab2af7e-95a0-216a-36d3-5b76cb972fcf
95,resnet,3,c197,41,3,185.808325,0.136490872,0.134580305,7.856340452,0.128824812,GPU-cfce0c96-3a6e-2f08-2b84-5df518f499b4
96,resnet,0,c196,112,0,248.204953,0.228738626,0.143660235,10.18041552,0.126500821,GPU-d5be5fde-4350-2ad2-553e-1ed632195eb7
97,resnet,0,c196,112,1,248.204953,0.234637186,0.144119541,9.968074179,0.12589238,GPU-6c7a76cf-3d2d-66fb-5a4c-0f5b2a90c279
98,resnet,0,c196,112,2,248.204953,0.242660328,0.144626143,9.912702482,0.127417511,GPU-5dc5326b-989c-e8ad-28d6-24ff2af1d1c6
99,resnet,0,c196,112,3,248.204953,0.168111545,0.141807619,10.1936162,0.126866538,GPU-28bc785d-24b0-f3b2-d63b-0439ccd22df3
100,resnet,2,c197,81,0,186.870832,0.137696615,0.135440933,7.804642166,0.129686148,GPU-24db6353-9910-8780-3dfe-d56835bd23fa
101,resnet,2,c197,81,1,186.870832,0.136660252,0.135097243,7.84567587,0.128770158,GPU-8897bbdb-9892-31c2-53e9-4d11dd5ad235
102,resnet,2,c197,81,2,186.870832,0.137547463,0.135868049,7.858311907,0.129461405,GPU-f66719ae-228c-d446-aaf9-e8b6f0ddffd5
103,resnet,2,c197,81,3,186.870832,0.136758916,0.135099054,8.043249055,0.129083517,GPU-5a37a5ad-daef-2766-51c4-333af47cc972
104,resnet,2,c198,31,0,185.60445,0.136503536,0.134478533,7.128483111,0.125064851,GPU-6194ad26-be16-ef55-8bee-fc9b89e5fa1b
105,resnet,2,c198,31,1,185.60445,0.135353912,0.133982277,7.370233333,0.126533607,GPU-b943fa68-5f2b-ac2c-ee4f-e01a2587c433
106,resnet,2,c198,31,2,185.60445,0.136122445,0.134696727,7.229379062,0.126435479,GPU-6c0e2422-aca2-235c-1470-aad46cb02148
107,resnet,2,c198,31,3,185.60445,0.135970495,0.134559795,7.284172247,0.12657246,GPU-c5d53d15-34ea-e208-1363-ee1d7e1ce5aa
