cabinet,device,model,node,perf_avg,perf,run,uuid
c197,0,pagerank,42,1293475.261,2589537472,4,GPU-1fdce80d-b1ac-d651-6449-82e28948b1ff
c198,0,pagerank,51,1291194.517,2584971424,0,GPU-21713f81-a0ce-bb17-03a8-1d6a554964c6
c197,2,pagerank,101,1292648.679,2587882656,2,GPU-61aee3cb-0d16-46e6-a9d0-f9252aa3c528
c197,3,pagerank,101,1292496.08,2587577152,1,GPU-9aa7e618-e7af-2781-3e37-392aa3999d08
c197,3,pagerank,81,1291728.687,2586040832,3,GPU-5a37a5ad-daef-2766-51c4-333af47cc972
c196,1,pagerank,41,1293038.545,2588663168,2,GPU-16e6432f-1aa7-bb38-128b-35cc7e999a17
c199,2,pagerank,82,1293434.006,2589454880,0,GPU-1ef07914-4a8e-5061-c2dc-6fb6bce85409
c197,3,pagerank,71,1292387.453,2587359680,1,GPU-c64727f3-6950-b1ee-596e-bd06e4cbbb16
c199,2,pagerank,72,1292474.949,2587534848,3,GPU-bc082ea2-b008-30a1-e1e7-8edf844b8dc7
c197,1,pagerank,41,1292874.326,2588334400,2,GPU-1c2a30dc-75a3-492e-b4b1-c0ba395c01ca
c199,2,pagerank,52,1290541.347,2583663776,0,GPU-a4c2be25-e61d-74a8-cbf6-39af358d6243
c199,0,pagerank,101,1292177.151,2586938656,3,GPU-f9d29720-d192-a337-b70c-88e33f77a449
c196,2,pagerank,42,1290030.673,2582641408,3,GPU-1769e88d-4e21-c6fa-e5d2-bf0c2d55e5df
c197,0,pagerank,91,1291861.483,2586306688,4,GPU-c00318b5-9bf9-dfd7-3c9a-85765db079fb
c198,2,pagerank,91,1292836.156,2588257984,4,GPU-6714c080-bb14-aa46-9372-084f31f55acd
c197,3,pagerank,92,1292717.123,2588019680,3,GPU-e289b4a9-b821-519b-4474-24560d64ceae
c198,2,pagerank,22,1292738.621,2588062720,0,GPU-d13b519c-797c-0eef-8072-1e9b6b83e198
c198,1,pagerank,72,1293216.416,2589019264,2,GPU-53816c16-823d-8bb6-6edb-c0b8702b194c
c199,0,pagerank,71,1291727.728,2586038912,1,GPU-0d08d63c-f45d-2753-d3b2-e48b8476be85
c197,1,pagerank,72,1292872.056,2588329856,1,GPU-52f8161b-43d3-827b-2684-80b609bc8ec6
c198,0,pagerank,32,1292787.453,2588160480,1,GPU-e2981715-9b3e-ad31-a9d4-21e98412c132
c196,1,pagerank,101,1291687.017,2585957408,0,GPU-8cfcbc0e-71ec-818c-be5c-0e151cdfeb41
c199,0,pagerank,82,1292955.7,2588497312,1,GPU-354ffa0e-f1a3-c257-19aa-ea04ea75ca40
c199,3,pagerank,82,1292641.151,2587867584,3,GPU-76a0747f-3a2e-017f-bffa-9df46cda0272
c196,1,pagerank,41,1292738.925,2588063328,0,GPU-16e6432f-1aa7-bb38-128b-35cc7e999a17
c199,2,pagerank,61,1291604.955,2585793120,0,GPU-26263a8f-1606-5d87-cf96-4e6b5e535e66
c196,2,pagerank,111,1292911.185,2588408192,0,GPU-98329a94-3d69-3633-1464-caaa5d7eb597
c199,1,pagerank,121,1291722.805,2586029056,4,GPU-7493e320-fbe1-9eca-6072-900e91843303
c199,3,pagerank,61,1291381.419,2585345600,4,GPU-f89cf3cd-acb5-cf90-4ece-8141ca477c65
c199,2,pagerank,32,1288952.935,2580483776,4,GPU-a075f73c-0500-a59d-c3aa-f81a8f646866
c198,3,pagerank,42,1289204.811,2580988032,4,GPU-d6a67224-5da4-cd28-eae8-0728f598bfbc
c199,0,pagerank,111,1290931.836,2584445536,3,GPU-7860c617-9014-dd6b-3364-340463ffb25b
c198,1,pagerank,71,1292106.486,2586797184,3,GPU-e8f7ef46-1905-975f-7b59-c4413d78194b
c197,3,pagerank,91,1292533.642,2587652352,2,GPU-0c3f0f5d-d0cb-9cf2-1bae-4fc3257685c1
c197,0,pagerank,61,1292326.633,2587237920,1,GPU-ee8d6575-04ef-d96a-7049-9a792b589fd4
c199,2,pagerank,101,1292097.838,2586779872,3,GPU-417fc0d8-6d06-9fd8-66cf-ded92981c5a8
c197,3,pagerank,91,1291985.151,2586554272,3,GPU-0c3f0f5d-d0cb-9cf2-1bae-4fc3257685c1
c198,3,pagerank,22,1292943.616,2588473120,0,GPU-9be951b4-61ac-9efe-4a49-6745dbe5dde0
c199,3,pagerank,72,1291851.684,2586287072,0,GPU-b54154a6-32cb-1de0-9f49-11a273dba29a
c196,2,pagerank,62,1292905.255,2588396320,2,GPU-9f233605-62c7-c998-3c19-8051b138d7a8
c198,0,pagerank,62,1292740.316,2588066112,0,GPU-cd346956-200e-9fb9-d7a9-dfde0b6cb8ee
c197,2,pagerank,42,1293500.595,2589588192,0,GPU-0f931387-8fa1-22c2-4fec-0c39738f3743
c199,0,pagerank,61,1292438.09,2587461056,4,GPU-3bd60980-a877-b94d-934b-cd3599f8e788
c199,3,pagerank,111,1292939.972,2588465824,0,GPU-a87b1a29-8a3b-0ba5-26a5-e6c44aba6dfc
c197,0,pagerank,81,1292121.734,2586827712,4,GPU-24db6353-9910-8780-3dfe-d56835bd23fa
c197,2,pagerank,82,1292008.008,2586600032,3,GPU-a1b245cd-418c-e668-f727-832c29d8c35e
c196,2,pagerank,71,1291369.399,2585321536,4,GPU-a443a153-8c68-a285-e46b-32247ba74fb8
c197,2,pagerank,72,1292066.669,2586717472,1,GPU-06212af4-9a15-8518-a41e-b0cee5abb6ef
c199,1,pagerank,41,1292656.943,2587899200,1,GPU-47b14c71-9b57-2642-ef58-0dde8f424c66
c199,1,pagerank,71,1291668.651,2585920640,1,GPU-5a5489d9-baae-b03e-19f4-f939b3d671f3
c198,1,pagerank,31,1292231.72,2587047904,1,GPU-b943fa68-5f2b-ac2c-ee4f-e01a2587c433
c196,3,pagerank,102,1291837.522,2586258720,4,GPU-3c7bacce-95d6-45a6-737f-cccf4ec93d09
c196,2,pagerank,51,1292519.065,2587623168,2,GPU-0ffef0b8-aa38-5d86-b1ad-58fb76838f83
c196,1,pagerank,52,1291267.772,2585118080,2,GPU-1b707649-2784-0639-8b36-e00b57be1c95
c196,3,pagerank,42,1292819.197,2588224032,1,GPU-c8d2f290-bf0b-38a3-7a49-071453c4f99b
c197,1,pagerank,61,1292305.455,2587195520,3,GPU-e3882ba0-d81b-7e06-0f61-e6b6899673ca
c198,3,pagerank,111,1292437.291,2587459456,0,GPU-4377a22b-6292-e4ec-1def-d69a59432086
c197,1,pagerank,71,1292745.175,2588075840,3,GPU-d4c4457d-9f9b-fdf7-a509-d5e63934ca43
c199,2,pagerank,112,1291518.21,2585619456,4,GPU-bd8dc51a-319c-b80c-3bcb-dd19ad52999d
c198,3,pagerank,101,1290851.117,2584283936,1,GPU-25b05cf8-e375-3e64-4d3c-da3563b568d8
c196,1,pagerank,52,1289499.892,2581578784,0,GPU-1b707649-2784-0639-8b36-e00b57be1c95
c199,1,pagerank,111,1292561.279,2587707680,1,GPU-093cdcea-db82-2f8a-7508-b42a7fbdab69
c198,1,pagerank,82,1292891.508,2588368800,3,GPU-b3549ea2-9930-bd5c-28a5-26323cf45f8f
c198,1,pagerank,52,1290844.132,2584269952,0,GPU-db5a76fe-5dc0-abd1-5aae-9b2a0c6d5b67
c197,3,pagerank,31,1291546.837,2585676768,3,GPU-2ffa8a10-936f-ed1a-f897-8c69ebb26391
c198,2,pagerank,71,1291843.293,2586270272,3,GPU-95ae48ac-4588-2d14-c275-a917d4c19910
c199,2,pagerank,111,1293318.378,2589223392,2,GPU-2c2f4b40-f274-9088-55a0-76fe1844dc46
c197,3,pagerank,51,1291925.371,2586434592,3,GPU-7d54391f-8197-2f8f-759c-bf8e22af7edd
c199,1,pagerank,61,1291735.081,2586053632,3,GPU-186adbd6-869d-a96b-e984-bb1b5a453d30
