exp,cabinet,node,device,uuid,mean_iter_dur_mean,perf,train_time_mean,train_time_median,norm_perf
resnet,c308,3,1,c308-3-1,0.025459529,0.025414509,25.89057233,25.785276,1.005325818
resnet,c308,3,2,c308-3-2,0.02545134,0.02528427,26.090988,26.18033,1.000173933
resnet,c308,4,0,c308-4-0,0.025370497,0.025291538,26.70456933,26.2478545,1.000461434
resnet,c308,4,1,c308-4-1,0.0248424,0.025047401,25.9845205,25.752543,0.990804068
resnet,c308,4,2,c308-4-2,0.025160256,0.025516744,26.011998,26.009771,1.009369944
resnet,c309,1,0,c309-1-0,0.026032271,0.026016676,27.45999733,27.4162905,1.029145835
resnet,c309,1,1,c309-1-1,0.02560527,0.025500439,26.30351933,26.402731,1.008724965
resnet,c309,1,2,c309-1-2,0.025704348,0.025690302,26.3565945,26.470106,1.016235406
resnet,c309,2,0,c309-2-0,0.025480998,0.026039194,26.72707433,26.7046235,1.030036583
resnet,c309,2,1,c309-2-1,0.024699117,0.024264217,25.74700967,25.8049115,0.959823532
resnet,c309,2,2,c309-2-2,0.025387182,0.025331301,26.24323767,26.4323745,1.002034346
resnet,c309,3,0,c309-3-0,0.024901124,0.024904413,26.64500583,26.422267,0.985147868
resnet,c309,3,1,c309-3-1,0.024823791,0.024841955,26.17392517,26.1682125,0.982677207
resnet,c309,3,2,c309-3-2,0.02482846,0.024538172,25.998826,25.912282,0.970660414
resnet,c309,4,0,c309-4-0,0.025177331,0.025139461,26.25380233,26.055977,0.9944457
resnet,c309,4,1,c309-4-1,0.02514265,0.024982827,25.55507883,25.530492,0.988249704
resnet,c309,4,2,c309-4-2,0.024843953,0.024808319,25.55676167,25.5388505,0.981346663
resnet,c310,1,0,c310-1-0,0.025511676,0.025393639,27.051387,26.735998,1.00450026
resnet,c310,1,1,c310-1-1,0.024870193,0.024634667,26.2966595,25.898604,0.974477483
resnet,c310,1,2,c310-1-2,0.025310779,0.025384267,26.43111383,26.436113,1.00412953
resnet,c310,2,0,c310-2-0,0.025593354,0.025508811,27.65433033,26.580458,1.009056137
resnet,c310,2,1,c310-2-1,0.02530943,0.025263194,26.354932,26.340524,0.999340226
resnet,c310,2,2,c310-2-2,0.024616865,0.024587725,25.881411,25.7819005,0.97262059
resnet,c310,3,0,c310-3-0,0.025399597,0.02575419,26.98912983,26.74964,1.018762634
resnet,c310,3,1,c310-3-1,0.025016375,0.024796842,25.98297517,25.9681095,0.980892665
resnet,c310,3,2,c310-3-2,0.024887969,0.024737048,26.1117835,26.188683,0.978527384
resnet,c310,4,0,c310-4-0,0.024996456,0.025135067,26.5284165,26.409566,0.994271886
resnet,c310,4,1,c310-4-1,0.025146835,0.024937438,25.92640767,26.034849,0.986454244
resnet,c310,4,2,c310-4-2,0.024690316,0.024425672,25.78681133,25.667819,0.966210234
resnet,c315,1,0,c315-1-0,0.024846196,0.02478618,26.56285833,26.3821475,0.980470907
resnet,c315,1,1,c315-1-1,0.025432542,0.025055793,25.93843383,25.9416335,0.991136031
resnet,c315,1,2,c315-1-2,0.025458813,0.02517589,25.95176183,26.039863,0.995886728
resnet,c315,3,0,c315-3-0,0.025449245,0.025518927,26.555277,26.248371,1.009456298
resnet,c315,3,1,c315-3-1,0.025013653,0.02468127,25.60160833,25.6215365,0.976320965
resnet,c315,3,2,c315-3-2,0.025200605,0.025391726,25.6761085,25.684817,1.004424587
resnet,c315,4,0,c315-4-0,0.025639071,0.025843502,26.9837585,27.1386215,1.022295563
resnet,c315,4,1,c315-4-1,0.024202607,0.023991405,26.06508433,26.2785855,0.949031864
resnet,c315,4,2,c315-4-2,0.024714916,0.024962549,26.05788783,25.9627125,0.987447564
resnet,c315,5,0,c315-5-0,0.025210454,0.025203877,27.907282,26.7107525,0.996993814
resnet,c315,5,1,c315-5-1,0.025221521,0.024981161,26.13810333,26.196138,0.988183801
resnet,c315,5,2,c315-5-2,0.024676699,0.024878713,26.08057917,25.982045,0.984131249
resnet,c315,6,0,c315-6-0,0.025933498,0.02590009,27.69904567,26.919422,1.024534024
resnet,c315,6,1,c315-6-1,0.024705159,0.024967263,25.81033483,25.673343,0.987634036
resnet,c315,6,2,c315-6-2,0.024948072,0.02479721,26.287904,26.358985,0.980907222
resnet,c315,7,0,c315-7-0,0.025696138,0.025578261,27.26734967,26.2928385,1.011803382
resnet,c315,7,1,c315-7-1,0.025574112,0.025673452,25.88639467,25.902066,1.015568868
resnet,c315,7,2,c315-7-2,0.025394165,0.0253567,25.50503617,25.536512,1.003039058
resnet,c315,8,0,c315-8-0,0.025761781,0.026214602,27.29179883,26.727501,1.036975225
resnet,c315,8,1,c315-8-1,0.024974788,0.025191543,25.63573083,25.4900635,0.996505916
resnet,c315,8,2,c315-8-2,0.025548841,0.025570954,25.66139167,25.778747,1.011514338
resnet,c315,9,0,c315-9-0,0.025375299,0.025433947,27.05202733,27.0476365,1.00609473
resnet,c315,9,1,c315-9-1,0.02501646,0.025040359,26.229408,26.2427555,0.990525506
resnet,c315,9,2,c315-9-2,0.024393196,0.02437628,26.254906,26.2306235,0.964256426
resnet,c315,10,0,c315-10-0,0.025651535,0.025749982,27.0018595,26.9104495,1.018596177
resnet,c315,10,1,c315-10-1,0.025181325,0.024954702,26.029635,25.922089,0.987137158
resnet,c315,10,2,c315-10-2,0.025292818,0.025403061,26.35892217,26.244799,1.004872968
resnet,c315,11,0,c315-11-0,0.025153773,0.02499877,26.953991,26.6387855,0.988880363
resnet,c315,11,1,c315-11-1,0.025393918,0.02540542,26.3365345,26.255213,1.004966283
resnet,c315,11,2,c315-11-2,0.02597003,0.025847396,26.607757,26.598489,1.022449599
resnet,c315,12,0,c315-12-0,0.025607718,0.025904038,26.62751833,26.585112,1.024690195
resnet,c315,12,1,c315-12-1,0.025035362,0.024832301,25.99084367,25.9755585,0.982295322
